,distance,lgrb_al,ccsn_al,sn_al,lgrb_fe,ccsn_fe,sn_fe
78,3360.985715383636,3.650698830252541e-09,0.0009575603489186993,0.00020797013828077998,4.919824374195659e-09,0.0012904457374939434,0.0002802686836119658
79,3729.733297568868,4.587845168389535e-09,0.0012033692244956156,0.0002613567534451415,6.1669110059976654e-09,0.0016175504278026663,0.0003513117335383915
80,4138.93769536777,5.7494430600150385e-09,0.001508050638692469,0.0003275297480910206,7.748888602397761e-09,0.0020324953711207245,0.0004414325884152823
81,4593.037592608176,7.187224175117009e-09,0.0018851735541290514,0.0004094361312874033,9.76641087084464e-09,0.002561681539893676,0.0005563652094456576
82,5096.958659397602,8.964751834249703e-09,0.0023514103171802495,0.0005106969282625854,1.2354043132430289e-08,0.0032404047560472887,0.0007037754079540204
83,5656.166981393226,1.1159734152372186e-08,0.00292714338422877,0.0006357389537621859,1.5692041321625354e-08,0.004115945264688618,0.0008939318621745591
84,6276.728351017085,1.3866085462460055e-08,0.0036370060229403423,0.0007899122456073555,2.0020311050543177e-08,0.005251229128011325,0.0011405013262399595
85,6965.3740637546225,1.7194258465495534e-08,0.004509969433572599,0.0009795089863540488,2.564949658571765e-08,0.006727736809368563,0.0014611803382847347
86,7729.573933236087,2.126803144281055e-08,0.005578500050573258,0.0012115804797338794,3.2954761119003516e-08,0.008643871768918954,0.0018773408998120852
87,8577.617317103151,2.620343727069166e-08,0.006873032726738796,0.001492736795338582,4.226814188191887e-08,0.011086725739519705,0.0024078982465519354
88,9518.703032556996,3.20225463352077e-08,0.008399356415792184,0.0018242352215548647,5.3258803574509825e-08,0.013969522249051756,0.003034005613465928
89,10563.039136911435,3.860487362991649e-08,0.01012586849309285,0.002199212063343603,6.47816162377312e-08,0.01699189934104425,0.0036904281381330475
90,11721.953655481304,4.583006908376951e-08,0.012021001726890364,0.0026108113125590006,7.605555549565876e-08,0.01994899816279574,0.0043326730384822
91,13008.01745788361,5.3559301387327444e-08,0.014048341347495722,0.003051124136409227,8.649961672077158e-08,0.0226884240579073,0.004927642100076741
92,14435.180615603342,6.162318982277926e-08,0.01616345962564702,0.0035105013874452114,9.569301850659656e-08,0.025099808132877783,0.005451364578859393
93,16018.923719909673,6.982317099311638e-08,0.018314274358850195,0.003977631462312776,1.0337781947881669e-07,0.027115493633787985,0.005889146273588328
94,17776.425801483398,7.793966196748054e-08,0.020443190024257187,0.0044400053333933575,1.0946626430903237e-07,0.02871246276958226,0.0062359880077686464
95,19726.750673198607,8.574491563532855e-08,0.022490469674840273,0.004884648882504372,1.1402001913480552e-07,0.02990689026486702,0.006495402729400805
96,21891.0537173377,9.302019429299176e-08,0.024398739486686364,0.005299101232264694,1.1722253467012712e-07,0.030746894339705476,0.006677841114404782
97,24292.811360283824,9.957480517906047e-08,0.02611798168631094,0.005672499147495657,1.1932785594373978e-07,0.03129910975573502,0.0067977754000737
98,26958.07572382606,1.0526435114722388e-07,0.02761032161238659,0.0059966167251902115,1.2061384690486573e-07,0.03163641886029265,0.0068710347212198085
99,29915.75721530859,1.1000528545446745e-07,0.02885384536510622,0.006266694540234006,1.2133814211190497e-07,0.03182639793099147,0.006912295800637209
